25-04-13 15:50:09:635 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.6 with PID 11016 (C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp\target\classes started by SANJAY PARMAR in C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp) 
25-04-13 15:50:12:890 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 2. Remaining time: 29987 ms. Selector: WritableServerSelector, topology description: {type=UNKNOWN, servers=[]. 
25-04-13 15:50:13:036 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:50:13:074 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:50:13:080 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:50:14:006 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=418097300, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67f67bcf48ffadf70ee0a5b8, counter=3}, lastWriteDate=Sun Apr 13 15:50:13 IST 2025, lastUpdateTimeNanos=365926678793800} 
25-04-13 15:50:14:006 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=418164200, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000005, setVersion=1, topologyVersion=TopologyVersion{processId=67f67ab420821494f2205b25, counter=6}, lastWriteDate=Sun Apr 13 15:50:13 IST 2025, lastUpdateTimeNanos=365926678793600} 
25-04-13 15:50:14:007 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=432971200, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67f679b1f1615a969985da8a, counter=4}, lastWriteDate=Sun Apr 13 15:50:13 IST 2025, lastUpdateTimeNanos=365926678793800} 
25-04-13 15:50:14:014 [cluster-ClusterId{value='67fb8fdc86d42a46c427a8e0', description='Cluster1'}-ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017 with max election id 7fffffff0000000000000005 and max set version 1 
25-04-13 15:50:14:960 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR 
25-04-13 15:50:15:730 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"] 
25-04-13 15:50:15:751 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/' 
25-04-13 15:50:15:770 [main] INFO  c.n.journalApp.JournalApplication - Started JournalApplication in 6.86 seconds (process running for 7.902) 
25-04-13 15:50:25:600 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-04-13 15:50:25:601 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-04-13 15:50:25:603 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms 
25-04-13 15:50:26:074 [http-nio-8081-exec-1] INFO  c.n.journalApp.service.UserService - hahahahahahah 
25-04-13 15:50:26:076 [http-nio-8081-exec-1] WARN  c.n.journalApp.service.UserService - hahahahahahah 
25-04-13 15:50:26:076 [http-nio-8081-exec-1] ERROR c.n.journalApp.service.UserService - hahahahahahah 
25-04-13 15:50:34:850 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete 
25-04-13 15:50:34:854 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete 
25-04-13 15:51:18:673 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.6 with PID 8152 (C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp\target\classes started by SANJAY PARMAR in C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp) 
25-04-13 15:51:18:676 [main] INFO  c.n.journalApp.JournalApplication - The following 1 profile is active: "prod" 
25-04-13 15:51:20:040 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-04-13 15:51:20:169 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117 ms. Found 2 MongoDB repository interfaces. 
25-04-13 15:51:21:037 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http) 
25-04-13 15:51:21:057 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-04-13 15:51:21:061 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-04-13 15:51:21:061 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36] 
25-04-13 15:51:21:151 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-04-13 15:51:21:152 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2364 ms 
25-04-13 15:51:21:588 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster1"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.6+7-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Dinesh', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@236fdf, com.mongodb.Jep395RecordCodecProvider@16e99306, com.mongodb.KotlinCodecProvider@653fb8d1]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster1.epssyuu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-8mdedv-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster1', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-04-13 15:51:21:656 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:51:21:733 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:51:21:741 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017 to client view of cluster 
25-04-13 15:51:22:303 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29981 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-04-13 15:51:22:897 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=424001500, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67f67bcf48ffadf70ee0a5b8, counter=3}, lastWriteDate=Sun Apr 13 15:51:22 IST 2025, lastUpdateTimeNanos=365995568437700} 
25-04-13 15:51:22:899 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=525216100, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67f679b1f1615a969985da8a, counter=4}, lastWriteDate=Sun Apr 13 15:51:22 IST 2025, lastUpdateTimeNanos=365995568437700} 
25-04-13 15:51:22:899 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=525219900, minRoundTripTimeNanos=0, setName='atlas-8mdedv-shard-0', canonicalAddress=ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, hosts=[ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-02.epssyuu.mongodb.net:27017, ac-kgi9x4w-shard-00-00.epssyuu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000005, setVersion=1, topologyVersion=TopologyVersion{processId=67f67ab420821494f2205b25, counter=6}, lastWriteDate=Sun Apr 13 15:51:22 IST 2025, lastUpdateTimeNanos=365995568437900} 
25-04-13 15:51:22:904 [cluster-ClusterId{value='67fb90219c84e42e5c76a19b', description='Cluster1'}-ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017 with max election id 7fffffff0000000000000005 and max set version 1 
25-04-13 15:51:23:894 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR 
25-04-13 15:51:24:860 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/' 
25-04-13 15:51:24:873 [main] INFO  c.n.journalApp.JournalApplication - Started JournalApplication in 7.016 seconds (process running for 7.951) 
25-04-13 15:51:24:877 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete 
25-04-13 15:51:24:887 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete 
25-04-13 15:52:00:432 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.6 with PID 19900 (C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp\target\classes started by SANJAY PARMAR in C:\Users\SANJAY PARMAR\Desktop\Dinesh\SpringBoot\journalApp) 
25-04-13 15:52:00:435 [main] INFO  c.n.journalApp.JournalApplication - The following 1 profile is active: "prod" 
25-04-13 15:52:01:705 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-04-13 15:52:01:817 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 98 ms. Found 2 MongoDB repository interfaces. 
25-04-13 15:52:02:658 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http) 
25-04-13 15:52:02:676 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-04-13 15:52:02:679 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-04-13 15:52:02:680 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36] 
25-04-13 15:52:02:763 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
25-04-13 15:52:02:764 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2220 ms 
25-04-13 15:52:03:207 [cluster-ClusterId{value='67fb904b34735056da2de966', description='Cluster1'}-srv-cluster1.epssyuu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kgi9x4w-shard-00-01.epssyuu.mongodb.net:27017 to client view of cluster 
